drive_file_id,filename,size_bytes,sha256,disposition
1fMtyOoAOMJgONaxsSOZzpmTDSRZzh3ZE,ssrn-3697734.pdf,455086,7bd0f04bbeabf562bec68755ec2229821c6c9d973e004c1b0ea1b67675ea08f2,PROMOTE_SUPPORT_PARAMETER_OPTIMIZATION
18WIQtF_JfFFvtD6bvXyiuRhBwazjmPgi,ssrn-4878676.pdf,1249646,1aee2555be41313c7b08ae43b0bfd27389e4226f41e8121112aded2a67854445,PROMOTE_CORE_STRATEGY_DEVELOPMENT
1laP6ouz2EmXuEtWMxdZpiR0xpuSEpLQP,ssrn-3986000.pdf,1337354,30c6b2c86d468df77e829609f94345a47e05f117ee301098271bfcce2e0e657c,PROMOTE_SUPPORT_RSI_TREND
15yVxGSMQ3XO8mTLp-xomE8VshSWNPnGL,ssrn-4438260.pdf,831034,60af2afdccd09638384f09e6a55d7a0eb44672b8a79ac7e7ebd7f0577ea631b0,PROMOTE_CORE_TREND_FRAMEWORK
1k-WpnR8PALLyXirMJMETUwni7P5KxOH2,ssrn-2701346.pdf,255211,99801b7740f7b2e4b079be20278347fdcf0a8a6a7a491c957dbd4927af5bed27,PROMOTE_CORE_ALPHA_LIBRARY
1g1G1BIzqLdZoi329ioe6BRx-SE1UIytF,ssrn-4391243.pdf,1993719,4740ea51754f482a40c8e25498aa14adb3423c839cfd943d3b46ee9f037bebae,REJECT_UNRELATED_AI_TEACHING
1tETPiVFMrt3KHsr2CJI9bkEepd5bgNJc,ssrn-384500.pdf,829548,8953fbbd50cfa85184fdff56c85af8f71d047f513e6aeb93772c9951504ee094,PROMOTE_CORE_EXECUTION_REALISM
1fFpR0qw5oz4jnZ-4x-lChfG_csS9w8NT,ssrn-870608.pdf,375213,1cc799ef6192b87fb056cfb0d75812e60d92efcde223713cbe9f9529c464a9dc,PROMOTE_SUPPORT_SESSION_MICROSTRUCTURE
1uCAi4rVVxsvV5GSHuJyJ5qAgM_Hu8hzm,ssrn-4420232.pdf,227321,bbb5f845bf31f7c4958da587d75bbecf10285586f6c8a474b38cc59bba85d78f,PROMOTE_SUPPORT_ARBITRAGE_REFERENCE
17COp4Rs7m46OwCDomyvIAihjoBXRKEbV,ssrn-4714721.pdf,281117,eca13e5e76f322dd51136381f016174cfb83c6609611232dc6fb9a77472db9ec,PROMOTE_CORE_PORTFOLIO_REBALANCING
