ticket,time,symbol,magic,type,entry,volume,price,profit,swap,commission,comment
2032477128,2026.07.22 17:00:00,XAGUSDm,990302,0,0,0.01,60.07000,0.00,0.00,0.00,17_Wave5 L0
2032650001,2026.07.22 17:40:44,XAGUSDm,990302,1,1,0.01,59.75300,-15.85,0.00,0.00,[sl 59.753]
2035546767,2026.07.23 08:00:00,USDJPYm,990120,0,0,0.01,163.32200,0.00,0.00,0.00,12_Breakout L0
2036557364,2026.07.23 11:41:30,USDJPYm,990120,1,1,0.01,163.57500,1.55,0.00,0.00,[tp 163.57500]
2036665096,2026.07.23 12:00:00,USDJPYm,990120,0,0,0.01,163.49800,0.00,0.00,0.00,12_Breakout L0
2037341808,2026.07.23 13:12:10,USDJPYm,990120,1,1,0.01,163.80600,1.88,0.00,0.00,[tp 163.80600]
2037341818,2026.07.23 13:12:10,USDJPYm,990120,0,0,0.01,163.81900,0.00,0.00,0.00,12_Breakout L0
2037807534,2026.07.23 14:00:00,USDJPYm,991003,0,0,0.01,163.96600,0.00,0.00,0.00,BRKOUT_BUY
2038737824,2026.07.23 16:29:35,USDJPYm,991003,1,1,0.01,163.75100,-1.31,0.00,0.00,[sl 163.751]
2038818975,2026.07.23 17:00:00,XAGUSDm,990302,1,0,0.01,57.82700,0.00,0.00,0.00,17_Wave5 L0
2039504540,2026.07.24 00:00:00,XAUUSDm,990020,1,0,0.01,4047.09900,0.00,0.00,0.00,ST_ATR10x3
2044426158,2026.07.25 00:57:01,,0,2,0,0.00,0.00000,90000.00,0.00,0.00,D-trial-USD-6f81d92c04974d
2045764908,2026.07.26 21:06:01,USDJPYm,990120,1,1,0.01,163.55400,-1.62,0.00,0.00,[sl 163.554]
2045785138,2026.07.26 22:00:00,USDJPYm,990120,1,0,0.01,163.62700,0.00,0.00,0.00,12_Breakout L0
2045829754,2026.07.26 22:05:06,XAGUSDm,990302,0,1,0.01,59.53700,-85.50,0.00,0.00,[sl 59.537]
2046103649,2026.07.27 00:02:08,XAUUSDm,990020,0,1,0.01,4104.18200,-57.08,0.00,0.00,[sl 4104.182]
2047917222,2026.07.27 07:29:54,USDJPYm,990120,0,1,0.01,163.33900,1.76,0.00,0.00,[tp 163.33900]
2048051763,2026.07.27 08:00:00,XAUUSDm,999094,1,0,0.01,4089.03300,0.00,0.00,0.00,MACDDIV_SELL
2048530663,2026.07.27 10:00:00,USDJPYm,990001,1,0,0.01,163.53500,0.00,0.00,0.00,17_Wave5 L0
2049131330,2026.07.27 12:16:24,USDJPYm,990001,0,1,0.01,163.69600,-0.98,0.00,0.00,[sl 163.69600]
2051326237,2026.07.27 19:00:00,USDJPYm,990120,0,0,0.01,163.78700,0.00,0.00,0.00,12_Breakout L0
2053822408,2026.07.28 09:00:00,XAUUSDm,990068,1,0,0.10,4045.41600,0.00,0.00,0.00,IchiADX
2054078271,2026.07.28 09:57:42,XAUUSDm,999094,0,1,0.01,4025.63700,63.39,0.00,0.00,[tp 4025.63700]
2054657319,2026.07.28 12:00:00,XAUUSDm,999094,1,0,0.01,4028.27700,0.00,0.00,0.00,MACDDIV_SELL
2056128427,2026.07.28 15:47:11,XAUUSDm,990068,0,1,0.10,4044.88800,5.28,0.00,0.00,[sl 4044.888]
2056192635,2026.07.28 16:00:00,EURUSDm,990984,1,0,0.05,1.14003,0.00,0.00,0.00,PSARB_SA
2056192646,2026.07.28 16:00:00,GBPUSDm,990984,0,0,0.05,1.33096,0.00,0.00,0.00,PSARB_LB
2056385279,2026.07.28 17:00:00,XAUUSDm,992017,1,0,0.01,4037.83700,0.00,0.00,0.00,PIVOT_SELL
2058102186,2026.07.29 03:45:31,USDJPYm,990120,1,1,0.01,163.60600,-1.11,0.00,0.00,[sl 163.60600]
2058139945,2026.07.29 04:00:00,USDJPYm,990120,1,0,0.01,163.62000,0.00,0.00,0.00,12_Breakout L0
2058281080,2026.07.29 04:42:24,USDJPYm,990120,0,1,0.01,163.31400,1.87,0.00,0.00,[tp 163.31400]
2058281082,2026.07.29 04:42:24,USDJPYm,990120,1,0,0.01,163.30400,0.00,0.00,0.00,12_Breakout L0
2058637195,2026.07.29 06:07:57,USDJPYm,990120,0,1,0.01,163.55300,-1.52,0.00,0.00,[sl 163.55300]
2059430555,2026.07.29 10:00:01,XAGUSDm,990302,0,0,0.01,57.76400,0.00,0.00,0.00,17_Wave5 L0
2059965777,2026.07.29 12:17:17,XAGUSDm,990302,1,1,0.01,57.35800,-20.30,0.00,0.00,[sl 57.35800]
2060846413,2026.07.29 14:00:00,EURUSDm,991070,0,0,0.01,1.13921,0.00,0.00,0.00,EMASTO_BUY
2061333915,2026.07.29 15:00:00,USDJPYm,990120,0,0,0.01,163.89600,0.00,0.00,0.00,12_Breakout L0
2062432522,2026.07.29 18:00:01,EURUSDm,991070,1,1,0.01,1.14004,0.83,0.00,0.00,[tp 1.14004]
2062432846,2026.07.29 18:00:01,USDJPYm,990120,1,1,0.01,163.56500,-2.02,0.00,0.00,[sl 163.62400]
2062441923,2026.07.29 18:00:02,XAUUSDm,992017,0,1,0.01,4062.99000,-25.15,0.00,0.00,[sl 4058.75100]
2062445014,2026.07.29 18:00:05,XAUUSDm,999094,0,1,0.01,4077.90900,-49.63,0.00,0.00,[sl 4077.90900]
2063465938,2026.07.29 19:00:00,XAUUSDm,992017,0,0,0.01,4106.83100,0.00,0.00,0.00,PIVOT_BUY
2063466125,2026.07.29 19:00:00,EURUSDm,990103,1,0,0.01,1.14518,0.00,0.00,0.00,MR_SELL
2063797939,2026.07.29 19:33:13,XAUUSDm,992017,1,1,0.01,4079.14400,-27.69,0.00,0.00,[sl 4079.14400]
2065647784,2026.07.30 04:00:00,XAUUSDm,999094,1,0,0.01,4058.75300,0.00,0.00,0.00,MACDDIV_SELL
2067751979,2026.07.30 11:00:00,USDJPYm,990120,1,0,0.01,162.81900,0.00,0.00,0.00,12_Breakout L0
2068736663,2026.07.30 13:36:08,USDJPYm,990120,0,1,0.01,162.22700,3.65,0.00,0.00,[tp 162.22700]
2069134123,2026.07.30 14:00:00,USDJPYm,990120,1,0,0.01,159.74000,0.00,0.00,0.00,12_Breakout L0
2069370633,2026.07.30 14:17:57,USDJPYm,990120,0,1,0.01,158.44600,8.17,0.00,0.00,[tp 158.44600]
2069370637,2026.07.30 14:17:57,USDJPYm,990120,1,0,0.01,158.43700,0.00,0.00,0.00,12_Breakout L0
2069612290,2026.07.30 14:41:54,USDJPYm,990120,0,1,0.01,159.51400,-6.75,0.00,0.00,[sl 159.514]
2069612297,2026.07.30 14:41:54,USDJPYm,990120,1,0,0.01,159.49700,0.00,0.00,0.00,12_Breakout L0
2071238709,2026.07.31 00:00:00,USDJPYm,990303,1,0,0.01,160.18100,0.00,0.00,0.00,17_Wave5 L0
2071384317,2026.07.31 00:47:34,USDJPYm,990120,0,1,0.01,160.64500,-7.15,0.00,0.00,[sl 160.645]
2072996084,2026.07.31 08:00:00,EURUSDm,991070,0,0,0.01,1.15149,0.00,0.00,0.00,EMASTO_BUY
2073329347,2026.07.31 08:56:50,EURUSDm,991070,1,1,0.01,1.15237,0.88,0.00,0.00,[tp 1.15237]
2074080311,2026.07.31 12:00:00,GBPUSDm,990984,1,1,0.05,1.34175,53.95,0.00,0.00,
2074080369,2026.07.31 12:00:00,EURUSDm,990984,0,1,0.05,1.14857,-42.70,0.00,0.00,
2074429156,2026.07.31 13:00:00,XAUUSDm,992017,1,0,0.01,4040.77100,0.00,0.00,0.00,PIVOT_SELL
2076042881,2026.07.31 17:00:00,XAUUSDm,990301,1,0,0.01,4043.31500,0.00,0.00,0.00,17_Wave5 L0
2076247727,2026.07.31 18:00:00,USDJPYm,990120,1,0,0.01,158.50100,0.00,0.00,0.00,12_Breakout L0
2076343502,2026.07.31 18:45:13,USDJPYm,990303,0,1,0.01,158.96700,7.64,0.00,0.00,[sl 158.967]
2077904680,2026.08.02 22:01:31,XAUUSDm,992017,0,1,0.01,4073.38000,-32.61,0.00,0.00,[sl 4060.06500]
2077920839,2026.08.02 22:03:33,XAUUSDm,990301,0,1,0.01,4078.56600,-35.25,0.00,0.00,[sl 4078.566]
2078310264,2026.08.03 00:32:53,USDJPYm,990120,0,1,0.01,156.38500,13.53,0.00,0.00,[tp 156.38500]
