"ea","path","guess_type","symbol","m2_trades","m2_report","m1_ran","m1_report","m1_pf","m1_trades","m1_net","m1_eqdd","tier","note","ea_index"
"AI   ikiiGai Final Version6.01 Expire 30122024","2024-10\AI   ikiiGai Final Version6.01 Expire 30122024.ex5","unknown-ea","AUDNZD","0","MS5_0032_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","32"
"KZM Expert","2024-10\KZM Expert 007\KZM Expert 007\MT5\Experts\KZM Expert.ex5","unknown-ea","XAUUSD","119","MS5_0033_M2_XAUUSD.htm","True","MS5_0033_M1_XAUUSD.htm","0.28","146","-9676.29","97.56","Reject","","33"
"KZM Expert","2024-10\KZM Expert 007\KZM Expert 007\MT5\Experts\KZM Expert.ex5","unknown-ea","EURUSD","2","MS5_0033_M2_EURUSD.htm","False","",,,,,"","m2-trades-below-10","33"
"KZM Expert","2024-10\KZM Expert 007\KZM Expert 007\MT5\Experts\KZM Expert.ex5","unknown-ea","USDJPY","5","MS5_0033_M2_USDJPY.htm","False","",,,,,"","m2-trades-below-10","33"
"KZM Expert","2024-10\KZM Expert 007\KZM Expert 007\MT5\Experts\KZM Expert.ex5","unknown-ea","AUDNZD","2","MS5_0033_M2_AUDNZD.htm","False","",,,,,"","m2-trades-below-10","33"
"EA Black Dragon MT5 V13 @SoftechFX_Robot","2024-12\EA Black Dragon MT5 V13\EA Black Dragon MT5 V13\EA Black Dragon MT5 V13 @SoftechFX_Robot.ex5","unknown-ea","XAUUSD","104","MS5_0034_M2_XAUUSD.htm","True","MS5_0034_M1_XAUUSD.htm","0.98","163","-220.15","60.92","Reject","","34"
"EA Black Dragon MT5 V13 @SoftechFX_Robot","2024-12\EA Black Dragon MT5 V13\EA Black Dragon MT5 V13\EA Black Dragon MT5 V13 @SoftechFX_Robot.ex5","unknown-ea","EURUSD","147","MS5_0034_M2_EURUSD.htm","True","MS5_0034_M1_EURUSD.htm","3.02","1216","10792.94","45.62","Tier B","","34"
"EA Black Dragon MT5 V13 @SoftechFX_Robot","2024-12\EA Black Dragon MT5 V13\EA Black Dragon MT5 V13\EA Black Dragon MT5 V13 @SoftechFX_Robot.ex5","unknown-ea","USDJPY","160","MS5_0034_M2_USDJPY.htm","True","MS5_0034_M1_USDJPY.htm","0.99","1427","-88","52.38","Reject","","34"
"EA Black Dragon MT5 V13 @SoftechFX_Robot","2024-12\EA Black Dragon MT5 V13\EA Black Dragon MT5 V13\EA Black Dragon MT5 V13 @SoftechFX_Robot.ex5","unknown-ea","AUDNZD","122","MS5_0034_M2_AUDNZD.htm","True","MS5_0034_M1_AUDNZD.htm","0.12","95","-6420.06","66.3","Reject","","34"
"EA Rebalance V.5+ by [NVF]","2024-12\EA Rebalance V.5+ by [NVF]\EA Rebalance V.5+ by [NVF]\EA Rebalance V.5+ by [NVF].ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","source-missing","35"
"EA Rebalance V.5+ by [NVF]","2024-12\EA Rebalance V.5+ by [NVF]\EA Rebalance V.5+ by [NVF]\EA Rebalance V.5+ by [NVF].ex5","unknown-ea","EURUSD","0","","False","",,,,,"","source-missing","35"
"EA Rebalance V.5+ by [NVF]","2024-12\EA Rebalance V.5+ by [NVF]\EA Rebalance V.5+ by [NVF]\EA Rebalance V.5+ by [NVF].ex5","unknown-ea","USDJPY","0","","False","",,,,,"","source-missing","35"
"EA Rebalance V.5+ by [NVF]","2024-12\EA Rebalance V.5+ by [NVF]\EA Rebalance V.5+ by [NVF]\EA Rebalance V.5+ by [NVF].ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","source-missing","35"
"HS888 Alein Species v5.0.2 (2024.12.15)","2024-12\hs888-btcusd-pu_tf5-50kusc\HS888 Alein Species v5.0.2 (2024.12.15).ex5","unknown-ea","XAUUSD","0","MS5_0036_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","36"
"HS888 Alein Species v5.0.2 (2024.12.15)","2024-12\hs888-btcusd-pu_tf5-50kusc\HS888 Alein Species v5.0.2 (2024.12.15).ex5","unknown-ea","EURUSD","0","MS5_0036_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","36"
"HS888 Alein Species v5.0.2 (2024.12.15)","2024-12\hs888-btcusd-pu_tf5-50kusc\HS888 Alein Species v5.0.2 (2024.12.15).ex5","unknown-ea","USDJPY","0","MS5_0036_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","36"
"HS888 Alein Species v5.0.2 (2024.12.15)","2024-12\hs888-btcusd-pu_tf5-50kusc\HS888 Alein Species v5.0.2 (2024.12.15).ex5","unknown-ea","AUDNZD","0","MS5_0036_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","36"
"Lot comboV2  EXP02022025","2024-12\Lot comboV2  EXP02022025\Lot comboV2  EXP02022025.ex5","unknown-ea","XAUUSD","0","MS5_0037_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","37"
"Lot comboV2  EXP02022025","2024-12\Lot comboV2  EXP02022025\Lot comboV2  EXP02022025.ex5","unknown-ea","EURUSD","0","MS5_0037_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","37"
"Lot comboV2  EXP02022025","2024-12\Lot comboV2  EXP02022025\Lot comboV2  EXP02022025.ex5","unknown-ea","USDJPY","0","MS5_0037_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","37"
"Lot comboV2  EXP02022025","2024-12\Lot comboV2  EXP02022025\Lot comboV2  EXP02022025.ex5","unknown-ea","AUDNZD","0","MS5_0037_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","37"
"(POR1) Xau_M15_R09","2025-04\New folder\(POR1) Xau_M15_R09.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","38"
"(POR1) Xau_M15_R09","2025-04\New folder\(POR1) Xau_M15_R09.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","38"
"(POR1) Xau_M15_R09","2025-04\New folder\(POR1) Xau_M15_R09.ex5","unknown-ea","USDJPY","0","","False","",,,,,"","m2-no-report","38"
"(POR1) Xau_M15_R09","2025-04\New folder\(POR1) Xau_M15_R09.ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","m2-no-report","38"
"CHICKEN LITTILE EA 2 SYSTEM","2025-04\New folder\CHICKEN LITTILE EA 2 SYSTEM.ex5","unknown-ea","XAUUSD","0","MS5_0039_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","39"
"CHICKEN LITTILE EA 2 SYSTEM","2025-04\New folder\CHICKEN LITTILE EA 2 SYSTEM.ex5","unknown-ea","EURUSD","0","MS5_0039_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","39"
"CHICKEN LITTILE EA 2 SYSTEM","2025-04\New folder\CHICKEN LITTILE EA 2 SYSTEM.ex5","unknown-ea","USDJPY","0","MS5_0039_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","39"
"CHICKEN LITTILE EA 2 SYSTEM","2025-04\New folder\CHICKEN LITTILE EA 2 SYSTEM.ex5","unknown-ea","AUDNZD","0","MS5_0039_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","39"
"EA ExtraGold(M12)cent","2025-04\New folder\EA ExtraGold(M12)cent.ex5","unknown-ea","XAUUSD","0","MS5_0040_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","40"
"EA ExtraGold(M12)cent","2025-04\New folder\EA ExtraGold(M12)cent.ex5","unknown-ea","EURUSD","0","MS5_0040_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","40"
"EA ExtraGold(M12)cent","2025-04\New folder\EA ExtraGold(M12)cent.ex5","unknown-ea","USDJPY","0","MS5_0040_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","40"
"EA ExtraGold(M12)cent","2025-04\New folder\EA ExtraGold(M12)cent.ex5","unknown-ea","AUDNZD","0","MS5_0040_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","40"
"EA ExtraGold(SP20-40)M12","2025-04\New folder\EA ExtraGold(SP20-40)M12.ex5","unknown-ea","XAUUSD","0","MS5_0041_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","41"
"EA ExtraGold(SP20-40)M12","2025-04\New folder\EA ExtraGold(SP20-40)M12.ex5","unknown-ea","EURUSD","0","MS5_0041_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","41"
"EA ExtraGold(SP20-40)M12","2025-04\New folder\EA ExtraGold(SP20-40)M12.ex5","unknown-ea","USDJPY","0","MS5_0041_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","41"
"EA ExtraGold(SP20-40)M12","2025-04\New folder\EA ExtraGold(SP20-40)M12.ex5","unknown-ea","AUDNZD","0","MS5_0041_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","41"
"EXP5 _ COPYLOT_Client_MT5","2025-04\New folder\Exp_Copytrade_MT5\EXP5 _ COPYLOT_Client_MT5.ex5","unknown-ea","XAUUSD","0","MS5_0042_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","42"
"EXP5 _ COPYLOT_Client_MT5","2025-04\New folder\Exp_Copytrade_MT5\EXP5 _ COPYLOT_Client_MT5.ex5","unknown-ea","EURUSD","0","MS5_0042_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","42"
"EXP5 _ COPYLOT_Client_MT5","2025-04\New folder\Exp_Copytrade_MT5\EXP5 _ COPYLOT_Client_MT5.ex5","unknown-ea","USDJPY","0","MS5_0042_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","42"
"EXP5 _ COPYLOT_Client_MT5","2025-04\New folder\Exp_Copytrade_MT5\EXP5 _ COPYLOT_Client_MT5.ex5","unknown-ea","AUDNZD","0","MS5_0042_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","42"
"EXP5 _ COPYLOT_Master_MT5","2025-04\New folder\Exp_Copytrade_MT5\EXP5 _ COPYLOT_Master_MT5.ex5","unknown-ea","XAUUSD","0","MS5_0043_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","43"
"EXP5 _ COPYLOT_Master_MT5","2025-04\New folder\Exp_Copytrade_MT5\EXP5 _ COPYLOT_Master_MT5.ex5","unknown-ea","EURUSD","0","MS5_0043_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","43"
"EXP5 _ COPYLOT_Master_MT5","2025-04\New folder\Exp_Copytrade_MT5\EXP5 _ COPYLOT_Master_MT5.ex5","unknown-ea","USDJPY","0","MS5_0043_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","43"
"EXP5 _ COPYLOT_Master_MT5","2025-04\New folder\Exp_Copytrade_MT5\EXP5 _ COPYLOT_Master_MT5.ex5","unknown-ea","AUDNZD","0","MS5_0043_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","43"
"FAST_Rebalance  2.2 ","2025-04\New folder\FAST_Rebalance  2.2 .ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","44"
"FAST_Rebalance  2.2 ","2025-04\New folder\FAST_Rebalance  2.2 .ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","44"
"FAST_Rebalance  2.2 ","2025-04\New folder\FAST_Rebalance  2.2 .ex5","unknown-ea","USDJPY","0","","False","",,,,,"","m2-no-report","44"
"FAST_Rebalance  2.2 ","2025-04\New folder\FAST_Rebalance  2.2 .ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","m2-no-report","44"
"FastClose","2025-04\New folder\FastClose.ex5","unknown-ea","XAUUSD","0","MS5_0045_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","45"
"FastClose","2025-04\New folder\FastClose.ex5","unknown-ea","EURUSD","0","MS5_0045_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","45"
"FastClose","2025-04\New folder\FastClose.ex5","unknown-ea","USDJPY","0","MS5_0045_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","45"
"FastClose","2025-04\New folder\FastClose.ex5","unknown-ea","AUDNZD","0","MS5_0045_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","45"
"Grizzy[Hybrid]v1.3","2025-04\New folder\Grizzt [Hybrid]v1.3\Grizzy[Hybrid]v1.3.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","source-missing","46"
"Grizzy[Hybrid]v1.3","2025-04\New folder\Grizzt [Hybrid]v1.3\Grizzy[Hybrid]v1.3.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","source-missing","46"
"Grizzy[Hybrid]v1.3","2025-04\New folder\Grizzt [Hybrid]v1.3\Grizzy[Hybrid]v1.3.ex5","unknown-ea","USDJPY","0","","False","",,,,,"","source-missing","46"
"Grizzy[Hybrid]v1.3","2025-04\New folder\Grizzt [Hybrid]v1.3\Grizzy[Hybrid]v1.3.ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","source-missing","46"
"Grizzy[BUY]v1.0","2025-04\New folder\Grizzy[BUY]v1.0.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","source-missing","47"
"Grizzy[BUY]v1.0","2025-04\New folder\Grizzy[BUY]v1.0.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","source-missing","47"
"Grizzy[BUY]v1.0","2025-04\New folder\Grizzy[BUY]v1.0.ex5","unknown-ea","USDJPY","0","","False","",,,,,"","source-missing","47"
"Grizzy[BUY]v1.0","2025-04\New folder\Grizzy[BUY]v1.0.ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","source-missing","47"
"ProfitInfo MT5(Mark-B1) by NVF","2025-04\New folder\ProfitInfo MT5(Mark-B1) by NVF.ex5","unknown-ea","XAUUSD","0","MS5_0048_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","48"
"ProfitInfo MT5(Mark-B1) by NVF","2025-04\New folder\ProfitInfo MT5(Mark-B1) by NVF.ex5","unknown-ea","EURUSD","0","MS5_0048_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","48"
"ProfitInfo MT5(Mark-B1) by NVF","2025-04\New folder\ProfitInfo MT5(Mark-B1) by NVF.ex5","unknown-ea","USDJPY","0","MS5_0048_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","48"
"ProfitInfo MT5(Mark-B1) by NVF","2025-04\New folder\ProfitInfo MT5(Mark-B1) by NVF.ex5","unknown-ea","AUDNZD","0","MS5_0048_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","48"
"PUMLOT V. 7  + HEDGING REBALANCE EQUITY   EX6","2025-04\New folder\PUMLOT V. 7  + HEDGING REBALANCE EQUITY   EX6.ex5","grid-recovery","XAUUSD","0","","False","",,,,,"","m2-no-report","49"
"PUMLOT V. 7  + HEDGING REBALANCE EQUITY   EX6","2025-04\New folder\PUMLOT V. 7  + HEDGING REBALANCE EQUITY   EX6.ex5","grid-recovery","EURUSD","0","","False","",,,,,"","m2-no-report","49"
"PUMLOT V. 7  + HEDGING REBALANCE EQUITY   EX6","2025-04\New folder\PUMLOT V. 7  + HEDGING REBALANCE EQUITY   EX6.ex5","grid-recovery","USDJPY","0","","False","",,,,,"","m2-no-report","49"
"PUMLOT V. 7  + HEDGING REBALANCE EQUITY   EX6","2025-04\New folder\PUMLOT V. 7  + HEDGING REBALANCE EQUITY   EX6.ex5","grid-recovery","AUDNZD","0","","False","",,,,,"","m2-no-report","49"
"PuN LoT XTime-r1","2025-04\New folder\PuN LoT XTime-r1.ex5","unknown-ea","XAUUSD","0","MS5_0050_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","50"
"PuN LoT XTime-r1","2025-04\New folder\PuN LoT XTime-r1.ex5","unknown-ea","EURUSD","0","MS5_0050_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","50"
"PuN LoT XTime-r1","2025-04\New folder\PuN LoT XTime-r1.ex5","unknown-ea","USDJPY","0","MS5_0050_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","50"
"PuN LoT XTime-r1","2025-04\New folder\PuN LoT XTime-r1.ex5","unknown-ea","AUDNZD","0","MS5_0050_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","50"
"EA Rebalance V.6 by [NVF]","2025-04\New folder\rebalance\EA Rebalance V.6 by [NVF].ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","source-missing","51"
"EA Rebalance V.6 by [NVF]","2025-04\New folder\rebalance\EA Rebalance V.6 by [NVF].ex5","unknown-ea","EURUSD","0","","False","",,,,,"","source-missing","51"
"EA Rebalance V.6 by [NVF]","2025-04\New folder\rebalance\EA Rebalance V.6 by [NVF].ex5","unknown-ea","USDJPY","0","","False","",,,,,"","source-missing","51"
"EA Rebalance V.6 by [NVF]","2025-04\New folder\rebalance\EA Rebalance V.6 by [NVF].ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","source-missing","51"
"RoyalPrince_Goldy_Free_Trial","2025-04\New folder\RoyalPrince_Goldy_Free_Trial.ex5","unknown-ea","XAUUSD","0","MS5_0052_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","52"
"RoyalPrince_Goldy_Free_Trial","2025-04\New folder\RoyalPrince_Goldy_Free_Trial.ex5","unknown-ea","EURUSD","0","MS5_0052_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","52"
"RoyalPrince_Goldy_Free_Trial","2025-04\New folder\RoyalPrince_Goldy_Free_Trial.ex5","unknown-ea","USDJPY","0","MS5_0052_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","52"
"RoyalPrince_Goldy_Free_Trial","2025-04\New folder\RoyalPrince_Goldy_Free_Trial.ex5","unknown-ea","AUDNZD","0","MS5_0052_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","52"
"Scalping-EA-AsReMix","2025-04\New folder\Scalping-EA-AsReMix.ex5","scalper","XAUUSD","1","MS5_0053_M2_XAUUSD.htm","False","",,,,,"","m2-trades-below-10","53"
"Scalping-EA-AsReMix","2025-04\New folder\Scalping-EA-AsReMix.ex5","scalper","EURUSD","22","MS5_0053_M2_EURUSD.htm","True","MS5_0053_M1_EURUSD.htm","0.79","123","-918.49","12.92","Reject","","53"
"Scalping-EA-AsReMix","2025-04\New folder\Scalping-EA-AsReMix.ex5","scalper","USDJPY","24","MS5_0053_M2_USDJPY.htm","True","MS5_0053_M1_USDJPY.htm","1.23","155","971.49","14.66","Tier A","","53"
"Scalping-EA-AsReMix","2025-04\New folder\Scalping-EA-AsReMix.ex5","scalper","AUDNZD","16","MS5_0053_M2_AUDNZD.htm","True","MS5_0053_M1_AUDNZD.htm","0.53","84","-1950.49","22.81","Reject","","53"
"SmartProfitPatternEA_Momentum","2025-04\New folder\SmartProfitPatternEA_Momentum.ex5","unknown-ea","XAUUSD","1","MS5_0054_M2_XAUUSD.htm","False","",,,,,"","m2-trades-below-10","54"
"SmartProfitPatternEA_Momentum","2025-04\New folder\SmartProfitPatternEA_Momentum.ex5","unknown-ea","EURUSD","12","MS5_0054_M2_EURUSD.htm","True","MS5_0054_M1_EURUSD.htm","0.7","12","-6029.5","74.54","Reject","","54"
"SmartProfitPatternEA_Momentum","2025-04\New folder\SmartProfitPatternEA_Momentum.ex5","unknown-ea","USDJPY","134","MS5_0054_M2_USDJPY.htm","True","MS5_0054_M1_USDJPY.htm","0.04","3","-5216.94","55.51","Reject","","54"
"SmartProfitPatternEA_Momentum","2025-04\New folder\SmartProfitPatternEA_Momentum.ex5","unknown-ea","AUDNZD","63","MS5_0054_M2_AUDNZD.htm","True","MS5_0054_M1_AUDNZD.htm","0.61","30","-7588.54","83.2","Reject","","54"
"SRISUTTHO GHOST BOT SN.XAUUSD NO.00000191 EX-30-04-25","2025-04\New folder\SRISUTTHO GHOST BOT SN.XAUUSD NO.00000191 EX-30-04-25.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","55"
"SRISUTTHO GHOST BOT SN.XAUUSD NO.00000191 EX-30-04-25","2025-04\New folder\SRISUTTHO GHOST BOT SN.XAUUSD NO.00000191 EX-30-04-25.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","55"
"SRISUTTHO GHOST BOT SN.XAUUSD NO.00000191 EX-30-04-25","2025-04\New folder\SRISUTTHO GHOST BOT SN.XAUUSD NO.00000191 EX-30-04-25.ex5","unknown-ea","USDJPY","0","","False","",,,,,"","m2-no-report","55"
"SRISUTTHO GHOST BOT SN.XAUUSD NO.00000191 EX-30-04-25","2025-04\New folder\SRISUTTHO GHOST BOT SN.XAUUSD NO.00000191 EX-30-04-25.ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","m2-no-report","55"
"EA ExtraGold(V2)M12","2025-06\EA ExtraGold(V2)M12\EA ExtraGold(V2)M12.ex5","unknown-ea","XAUUSD","0","MS5_0056_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","56"
"EA ExtraGold(V2)M12","2025-06\EA ExtraGold(V2)M12\EA ExtraGold(V2)M12.ex5","unknown-ea","EURUSD","0","MS5_0056_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","56"
"EA ExtraGold(V2)M12","2025-06\EA ExtraGold(V2)M12\EA ExtraGold(V2)M12.ex5","unknown-ea","USDJPY","0","MS5_0056_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","56"
"EA ExtraGold(V2)M12","2025-06\EA ExtraGold(V2)M12\EA ExtraGold(V2)M12.ex5","unknown-ea","AUDNZD","0","MS5_0056_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","56"
"ProfitInfo MT5(Mark-C) by NVF (Bug)","2025-06\ProfitInfo MT5(Mark-C) by NVF (Bug)\ProfitInfo MT5(Mark-C) by NVF (Bug).ex5","unknown-ea","XAUUSD","0","MS5_0057_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","57"
"ProfitInfo MT5(Mark-C) by NVF (Bug)","2025-06\ProfitInfo MT5(Mark-C) by NVF (Bug)\ProfitInfo MT5(Mark-C) by NVF (Bug).ex5","unknown-ea","EURUSD","0","MS5_0057_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","57"
"ProfitInfo MT5(Mark-C) by NVF (Bug)","2025-06\ProfitInfo MT5(Mark-C) by NVF (Bug)\ProfitInfo MT5(Mark-C) by NVF (Bug).ex5","unknown-ea","USDJPY","0","MS5_0057_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","57"
"ProfitInfo MT5(Mark-C) by NVF (Bug)","2025-06\ProfitInfo MT5(Mark-C) by NVF (Bug)\ProfitInfo MT5(Mark-C) by NVF (Bug).ex5","unknown-ea","AUDNZD","0","MS5_0057_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","57"
"Smart Money Concepts","2025-06\Smart Money Concepts\Smart Money Concepts.ex5","unknown-ea","XAUUSD","0","MS5_0058_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","58"
"Smart Money Concepts","2025-06\Smart Money Concepts\Smart Money Concepts.ex5","unknown-ea","EURUSD","0","MS5_0058_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","58"
"Smart Money Concepts","2025-06\Smart Money Concepts\Smart Money Concepts.ex5","unknown-ea","USDJPY","0","MS5_0058_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","58"
"Smart Money Concepts","2025-06\Smart Money Concepts\Smart Money Concepts.ex5","unknown-ea","AUDNZD","0","MS5_0058_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","58"
"[EX-127 - [Upgrade] ","2025-07  _all done\[EX-127 - [Upgrade] .ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","source-missing","59"
"[EX-127 - [Upgrade] ","2025-07  _all done\[EX-127 - [Upgrade] .ex5","unknown-ea","EURUSD","0","","False","",,,,,"","source-missing","59"
"[EX-127 - [Upgrade] ","2025-07  _all done\[EX-127 - [Upgrade] .ex5","unknown-ea","USDJPY","0","","False","",,,,,"","source-missing","59"
"[EX-127 - [Upgrade] ","2025-07  _all done\[EX-127 - [Upgrade] .ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","source-missing","59"
"Advance Grid V1","2025-07  _all done\Advance Grid V1.ex5","grid-recovery","XAUUSD","0","MS5_0060_M2_XAUUSD.htm","False","",,,,,"","m2-trades-below-10","60"
"Advance Grid V1","2025-07  _all done\Advance Grid V1.ex5","grid-recovery","EURUSD","1","MS5_0060_M2_EURUSD.htm","False","",,,,,"","m2-trades-below-10","60"
"Advance Grid V1","2025-07  _all done\Advance Grid V1.ex5","grid-recovery","USDJPY","7","MS5_0060_M2_USDJPY.htm","False","",,,,,"","m2-trades-below-10","60"
"Advance Grid V1","2025-07  _all done\Advance Grid V1.ex5","grid-recovery","AUDNZD","1","MS5_0060_M2_AUDNZD.htm","False","",,,,,"","m2-trades-below-10","60"
"BOO - EA Gold Mean Reversion _ Fibo Scalping V4.2","2025-07  _all done\BOO - EA Gold Mean Reversion _ Fibo Scalping V4.2.ex5","scalper","XAUUSD","0","","False","",,,,,"","m2-no-report","61"
"BOO - EA Gold Mean Reversion _ Fibo Scalping V4.2","2025-07  _all done\BOO - EA Gold Mean Reversion _ Fibo Scalping V4.2.ex5","scalper","EURUSD","11","MS5_0061_M2_EURUSD.htm","True","MS5_0061_M1_EURUSD.htm","1.18","33","149.63","9.29","Tier A","","61"
"BOO - EA Gold Mean Reversion _ Fibo Scalping V4.2","2025-07  _all done\BOO - EA Gold Mean Reversion _ Fibo Scalping V4.2.ex5","scalper","USDJPY","0","MS5_0061_M2_USDJPY.htm","False","",,,,,"","m2-trades-below-10","61"
"BOO - EA Gold Mean Reversion _ Fibo Scalping V4.2","2025-07  _all done\BOO - EA Gold Mean Reversion _ Fibo Scalping V4.2.ex5","scalper","AUDNZD","4","MS5_0061_M2_AUDNZD.htm","False","",,,,,"","m2-trades-below-10","61"
"DynGridMAX AI BBQTH V2.3c (EXP30062025)","2025-07  _all done\DynGridMAX AI BBQTH V2.3c (EXP30062025).ex5","grid-recovery","XAUUSD","0","MS5_0062_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","62"
"DynGridMAX AI BBQTH V2.3c (EXP30062025)","2025-07  _all done\DynGridMAX AI BBQTH V2.3c (EXP30062025).ex5","grid-recovery","EURUSD","0","MS5_0062_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","62"
"DynGridMAX AI BBQTH V2.3c (EXP30062025)","2025-07  _all done\DynGridMAX AI BBQTH V2.3c (EXP30062025).ex5","grid-recovery","USDJPY","0","MS5_0062_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","62"
"DynGridMAX AI BBQTH V2.3c (EXP30062025)","2025-07  _all done\DynGridMAX AI BBQTH V2.3c (EXP30062025).ex5","grid-recovery","AUDNZD","0","MS5_0062_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","62"
"EA Re Mink-Kwan 1.7a","2025-07  _all done\EA Re Mink-Kwan 1.7a.ex5","unknown-ea","XAUUSD","0","MS5_0063_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","63"
"EA Re Mink-Kwan 1.7a","2025-07  _all done\EA Re Mink-Kwan 1.7a.ex5","unknown-ea","EURUSD","0","MS5_0063_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","63"
"EA Re Mink-Kwan 1.7a","2025-07  _all done\EA Re Mink-Kwan 1.7a.ex5","unknown-ea","USDJPY","0","MS5_0063_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","63"
"EA Re Mink-Kwan 1.7a","2025-07  _all done\EA Re Mink-Kwan 1.7a.ex5","unknown-ea","AUDNZD","0","MS5_0063_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","63"
