platform,hash,path,guess_symbol,guess_type
ex4,08c2e8eb6aae4d9a1da4d219fb933d36,.Forexbookthai\EA\Link download Trade Assistance EA\Experts\Trade Assistant MT4_9.8_fix.ex4,basket,unknown-ea
ex4,e3a0397f637c4b6598a311a1d078a30c,.Forexbookthai\Jan 24\Link Download EA Sim v3.31\Experts\EA Simulator v331.ex4,basket,unknown-ea
ex4,5feb06b49d67b1e4bca159e5c140d78a,.Forexbookthai\Jan 24\MQL4\Experts\Close-all-panal.ex4,basket,unknown-ea
ex4,7003c71002e06e9290a6ab886a98f854,.Forexbookthai\Jan 24\MQL4\Experts\CloseTrades_After_Account_Loss_TooMuch.ex4,basket,unknown-ea
ex4,ae24c48d54d784268b9c2c7cb9b5a582,.Forexbookthai\Jan 24\MQL4\Experts\CloseTrades_After_Account_Profit_Reached.ex4,basket,unknown-ea
ex4,6e5aff5dc713abfccb445ce0c842db6b,.Forexbookthai\MQL4\Experts\100 pips daily scalper.ex4,basket,scalper
ex4,65881857acebffe27d86089b556fcb5d,.Forexbookthai\MQL4\Experts\AK47 Sniper.ex4,basket,unknown-ea
ex4,b32bdb9e492d2e6e97cb6a97377fd1ca,.Forexbookthai\MQL4\Experts\EA Dolly 1.09_all.ex4,basket,unknown-ea
ex4,3867bd54361ac9fa49cb9354c38d0487,.Forexbookthai\MQL4\Experts\SecretProfitLevels.ex4,basket,unknown-ea
ex4,bd4d3ea5cd3604b302826e0e1d92c13c,2024-03\Budak Ubat v1.70_fix\Budak Ubat v1.70_fix.ex4,basket,unknown-ea
ex4,4c30e0f403cc67ceb7a1821356bf87cd,2024-03\BuRengNong2071_FiniteTrendPro\BuRengNong2071_FiniteTrendPro.ex4,basket,trend
ex4,7aa2a0265862d8c0a40835812534872e,2024-03\Cash Freezing Ver. 2\Cash Freezing Ver. 2.ex4,basket,unknown-ea
ex5,feb18d5160aa45274fbc199cdffeb849,2024-03\Correlation EA MT5\Correlation EA MT5\Correlation EA 24.ex5,basket,unknown-ea
ex4,8e3e63d87e9256aea21e3f1e31b6dbaf,2024-03\EA Gold Stuff_fix\EA Gold Stuff_fix.ex4,XAUUSD,unknown-ea
ex4,635790cc86be5a35d27700c7bb5b63a2,2024-03\EA ok\Forex Recovery\Forex Recovery Bot MT4 (2).ex4,basket,grid-recovery
ex4,fd71ae5bdaa5ec6c239db70789a4515f,2024-03\EA ok\Forex Recovery\Forex Recovery Bot MT4.ex4,basket,grid-recovery
ex4,acbe69deb01d86f6753a33a1f04bcaa0,2024-03\EA ok\ProfitInfo Mark-C.ex4,basket,unknown-ea
ex4,935e4d99386f970e2193a414ba8d5bfd,2024-03\EA ok\ProfitInfo Mark-D.ex4,basket,unknown-ea
ex4,ebe43948a9cc281ebe677f4aa2da7a78,2024-03\FXOB_SD_RANGES_v6.035_Fixed\__MACOSX\._FXOB_SD_RANGES_v6.035_Fixed @EaFXSeller.ex4,basket,unknown-ea
ex4,7043f00a931dbc6a80177f4db0a491d2,2024-03\FXOB_SD_RANGES_v6.035_Fixed\FXOB_SD_RANGES_v6.035_Fixed @EaFXSeller.ex4,basket,unknown-ea
ex4,31ce8d7c93e363378438b3efa0b2c967,2024-03\GOLD Impulse with Alert No DLL\__MACOSX\._GOLD Impulse with Alert No DLL.ex4,XAUUSD,unknown-ea
ex4,1dc8b85408d8a9cf05a36011e527ea93,2024-03\GOLD Impulse with Alert No DLL\GOLD Impulse with Alert No DLL.ex4,XAUUSD,unknown-ea
ex4,f1aba1b3bc7263fe1e95eac46ce30a1f,2024-03\Gold_rush_pro_Fixed\gold_rush_pro_Fixed.ex4,XAUUSD,unknown-ea
ex4,01b2ae374c06104cca2c273a48af0949,2024-03\HalfTrend MTF with channels alerts\HalfTrend MTF with channels alerts.ex4,basket,trend
ex4,0244b3b6522afcc089b2684e4c22bb62,2024-03\Happy thaipop\Happy thaipop.ex4,basket,unknown-ea
ex4,3671cabc3aa8981b5231389e600fda48,2024-03\Hua-Koi v1.09\Hua-Koi v1.09.ex4,basket,unknown-ea
ex4,53ae2ea78abe9765785e60ef617e16a2,2024-03\Lot Driver F19 rebate v2\Lot Driver F19 rebate v2.ex4,basket,unknown-ea
ex4,20722d895659083f797018c1f6ce744f,2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_1.ex4,basket,unknown-ea
ex4,5144b315a8538f23f0878d00f40a1e80,2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.1.ex4,basket,unknown-ea
ex5,805505cf4ccbe10cc6c6f10cb158c999,2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.1.ex5,basket,unknown-ea
ex4,88594daf3afa5b252449b8a1be72af52,2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.ex4,basket,unknown-ea
ex5,c8ae1d055ad606b0ee0ed2fe81a109be,2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.ex5,basket,unknown-ea
ex4,7bde1684b1aa443453912a893bc29c3f,2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\FAST_AI.ex4,basket,unknown-ea
ex4,6994a676767b30bbc1ec47811b945a1f,2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\FAST_Rebalance.ex4,basket,unknown-ea
ex4,b8fd1eb0c9c61670a923202f7dddfb81,2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\FAST_RebalanceV2.ex4,basket,unknown-ea
ex4,787b5575f9bf44f904dc62b763c672b8,2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\LotAll _3.1.ex4,basket,unknown-ea
ex4,7613bb9ef209c428295354e6837fc6e3,2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\LotALL3.ex4,basket,unknown-ea
ex4,a63132187e1a37cac51c27cd0651f140,2024-03\Lotte v17.04.06\Lotte v17.04.06.ex4,basket,unknown-ea
ex4,bb5080c21fabef3bb36e209bf570777e,2024-03\Order Dialog\Order Dialog.ex4,basket,unknown-ea
ex4,dd9aabc3833190c11bb91696e49a15f6,2024-06\ACC info Mark-B by NVF\ACC info Mark-B by NVF.ex4,basket,unknown-ea
ex4,8a981bc5ef3708606d550d5b6bc6a5f1,2024-06\CITY-GOLD HUNTER PROx2_fix (3)\CITY-GOLD HUNTER PROx2_fix (3).ex4,XAUUSD,unknown-ea
ex4,f1801a74558b1d978a76e6147b118a34,2024-06\Correlation Fix Build1420+\Correlation Fix Build1420+.ex4,basket,unknown-ea
ex4,d275d11d166b0e110da235d1f497bf40,2024-06\CP_GOLD_M5\CP_GOLD_M5\MQL4\Experts\CommunityPower 2.58.3.ex4,XAUUSD,unknown-ea
ex4,b36ccc3f9dadacf10cdbab775100bc7c,2024-06\DanceT\DanceT.ex4,basket,unknown-ea
ex4,bb2b9dd8a1b02fb889f4f1fd9b5c7c32,2024-06\EA-Gold-Stuff\EA-Gold-Stuff.ex4,XAUUSD,unknown-ea
ex4,6b087bd1ae64a1825fe265056b863d04,2024-06\EA. MACD divergence  V1.3\EA. MACD divergence  V1.3.ex4,basket,trend
ex4,27fd196ca1eda6a2c6cdd8616e34384a,2024-06\Exp - Assistant 57 NEW 20240503\Exp - Assistant 57 NEW 20240503.ex4,basket,unknown-ea
ex4,1b73caa25ea7bcc9b5f5c1b1dd956601,2024-06\Flexy The Dragon v2.8\Flexy The Dragon v2.8.ex4,basket,unknown-ea
ex4,3b8e006fe1f55fc33e4744d532121a40,2024-06\Forex Correlation EA_fix2\Forex Correlation EA_fix2.ex4,basket,unknown-ea
ex4,428a39d58f656ca3c2292ff264135cef,2024-06\Forex Correlation EA_fix\Forex Correlation EA_fix.ex4,basket,unknown-ea
ex4,13e758b58710bf495c2b3fa0e9d489e3,2024-06\FREE EA-20240608T074321Z-001\FREE EA\!Retrace Finder CCI.ex4,basket,unknown-ea
ex4,972eada71b495dc018cf77a69d7d05be,2024-06\FREE EA-20240608T074321Z-001\FREE EA\#KG Support and Resistance Alert_Revision 2.ex4,basket,unknown-ea
ex4,9e4cb8ab4caff8ce91962288f23585dc,2024-06\FREE EA-20240608T074321Z-001\FREE EA\#Macd.ex4,basket,trend
ex4,62851782dc6f9780785b05054d2ce7f7,2024-06\FREE EA-20240608T074321Z-001\FREE EA\#MTF Forex freedom Bar.ex4,basket,unknown-ea
ex4,36dc7f85ad54e1c2a4b62682625fe0c5,2024-06\FREE EA-20240608T074321Z-001\FREE EA\#MTF_CCI.ex4,basket,unknown-ea
ex4,092a9a20fecd4b9381d054de1fe21663,2024-06\FREE EA-20240608T074321Z-001\FREE EA\#TrainingTrader v2.ex4,basket,unknown-ea
ex4,aaa8efef5dfedd06ec5206d9fa7e4932,2024-06\FREE EA-20240608T074321Z-001\FREE EA\#TrainingTrader.ex4,basket,unknown-ea
ex4,97f446be39d00194ad4f6ea1df749063,2024-06\FREE EA-20240608T074321Z-001\FREE EA\0 - Session H-Line with Targets and Alerts.ex4,basket,unknown-ea
ex4,8780ce1a4b781442d90ca55c9b5fb8a2,2024-06\FREE EA-20240608T074321Z-001\FREE EA\0 - SL_Close_BE_Reverse.ex4,basket,unknown-ea
ex4,b6f23ed236df7092e702425345ce6415,2024-06\FREE EA-20240608T074321Z-001\FREE EA\1 MINUTE SCALPER.ex4,basket,scalper
ex4,d42ae29489440be71f27840d3910359a,2024-06\FREE EA-20240608T074321Z-001\FREE EA\1-ABHAFXS.ex4,basket,unknown-ea
ex4,e99b10ecae17b3792eb11c22f6a4512e,2024-06\FREE EA-20240608T074321Z-001\FREE EA\10-AutochartistALPARI.ex4,basket,unknown-ea
ex4,8591ec4439a692fec1d4535e19696957,2024-06\FREE EA-20240608T074321Z-001\FREE EA\100 pips a day_perky_mod21.ex4,basket,unknown-ea
ex4,ac2856e40533cf334ea5446bbb4dc5ea,2024-06\FREE EA-20240608T074321Z-001\FREE EA\100-GPzigzag.ex4,basket,unknown-ea
ex4,ef1be1fed03e92ec867251a6c69f26c3,2024-06\FREE EA-20240608T074321Z-001\FREE EA\101-GreatTradeMACDColor.ex4,basket,trend
ex4,af3b3b2303bb3b757a010b10ff3183d2,2024-06\FREE EA-20240608T074321Z-001\FREE EA\102-GreatTradeMACDColordemo.ex4,basket,trend
ex4,0e719cfd8d4db0b318aeae62148610d3,2024-06\FREE EA-20240608T074321Z-001\FREE EA\103-GreatTraderFT.ex4,basket,unknown-ea
ex4,a0b4da682f9a606df83381dc3b3e13c6,2024-06\FREE EA-20240608T074321Z-001\FREE EA\104-GreatTraderFTdemo.ex4,basket,unknown-ea
